The usage of ZAI and ZHENGZAI in classical Chinese and modern Chinese,,,
Verbs,Time,ZAI,ZHENGZAI
以乘风破浪之势用在我国许多大型厂家的汽车,modern Chinese（1920-2020）,0,1
以孔子自居,modern Chinese（1920-2020）,1,0
仰望着天空,modern Chinese（1920-2020）,1,0
仰着头热烈品评,modern Chinese（1920-2020）,1,0
仰着头认真看、认真听,modern Chinese（1920-2020）,1,0
仰视屋梁,modern Chinese（1920-2020）,0,1
企图“摆脱共产党的领导”,modern Chinese（1920-2020）,1,0
企图从他身边撬走李嘉诚,modern Chinese（1920-2020）,1,0
企图使台湾和中国分离,modern Chinese（1920-2020）,1,0
企图发动全国性的内战,modern Chinese（1920-2020）,1,0
企图和中国谈判和平,modern Chinese（1920-2020）,1,0
企图对美国政府的某些代表人物施行压力,modern Chinese（1920-2020）,0,1
企图破坏近几年来所取得的国际紧张局势的某些缓和,modern Chinese（1920-2020）,0,1
伏地默祷,modern Chinese（1920-2020）,0,1
休产假,modern Chinese（1920-2020）,3,0
休假,modern Chinese（1920-2020）,0,1
休年假,modern Chinese（1920-2020）,1,0
休息,modern Chinese（1920-2020）,7,1
休息一下,modern Chinese（1920-2020）,1,0
休息着,modern Chinese（1920-2020）,2,0
优化,modern Chinese（1920-2020）,0,1
会客,modern Chinese（1920-2020）,2,0
会餐,modern Chinese（1920-2020）,0,1
传,modern Chinese（1920-2020）,2,0
传唱,modern Chinese（1920-2020）,1,0
传承,modern Chinese（1920-2020）,1,0
传抄,modern Chinese（1920-2020）,1,0
传授从苏联学来的先进技术,modern Chinese（1920-2020）,1,0
传授做马鞍的技术,modern Chinese（1920-2020）,1,0
传播,modern Chinese（1920-2020）,2,1
传播不健康信息,modern Chinese（1920-2020）,1,0
传播小道消息,modern Chinese（1920-2020）,1,0
传播文化垃圾,modern Chinese（1920-2020）,1,0
传播这丢脸事,modern Chinese（1920-2020）,1,0
传播这个说法,modern Chinese（1920-2020）,1,0
传来,modern Chinese（1920-2020）,1,0
传看那些数据、表格和录像,modern Chinese（1920-2020）,1,0
传着一种神话,modern Chinese（1920-2020）,1,0
传说,modern Chinese（1920-2020）,1,0
传说市长孔明亮的小弟孔明辉，患有一种精神病,modern Chinese（1920-2020）,1,0
传诵着,modern Chinese（1920-2020）,1,0
传起你和金东水,modern Chinese（1920-2020）,1,0
传达自己的思想、见解,modern Chinese（1920-2020）,1,0
传递力量,modern Chinese（1920-2020）,0,1
传递执法机关推进公开透明、夯实法治信仰的决心,modern Chinese（1920-2020）,1,0
传递着强劲的正能量两会时刻,modern Chinese（1920-2020）,0,1
传递这样的信号,modern Chinese（1920-2020）,0,1
伤人,modern Chinese（1920-2020）,1,0
伤害弟弟宝贵的童心与童趣,modern Chinese（1920-2020）,1,0
伤害自己,modern Chinese（1920-2020）,1,0
伤心,modern Chinese（1920-2020）,1,2
伤心不已,modern Chinese（1920-2020）,0,1
伤心落泪,modern Chinese（1920-2020）,1,1
伤痛着,modern Chinese（1920-2020）,1,0
伪造嫁祸于中共的 证据,modern Chinese（1920-2020）,0,1
估猜,modern Chinese（1920-2020）,1,0
估计她的胆量,modern Chinese（1920-2020）,1,0
估计我,modern Chinese（1920-2020）,1,0
估计拿出富农的一些地,modern Chinese（1920-2020）,1,0
估量着他会提出什么要求,modern Chinese（1920-2020）,0,1
估量着沈振新是什么人,modern Chinese（1920-2020）,1,0
伴奏,modern Chinese（1920-2020）,1,0
伸展,modern Chinese（1920-2020）,0,1
伸舌头,modern Chinese（1920-2020）,1,0
伺察吴荪甫的一笑一颦,modern Chinese（1920-2020）,1,0
伺机渗入英联邦,modern Chinese（1920-2020）,1,0
伺机进攻,modern Chinese（1920-2020）,1,0
低吟浅斟,modern Chinese（1920-2020）,1,0
低唱,modern Chinese（1920-2020）,1,0
低语,modern Chinese（1920-2020）,1,0
低语着,modern Chinese（1920-2020）,1,0
"低诵“嗟夫，草木无情，有时飘零，人为动物，

惟物之灵，百忧感其心，万事劳其形，有动乎中，必摇其精。

而况思其力之所不及，忧其智之所不能”",modern Chinese（1920-2020）,1,0
住,modern Chinese（1920-2020）,1,0
住院,modern Chinese（1920-2020）,4,0
体会,modern Chinese（1920-2020）,1,0
体味着什么,modern Chinese（1920-2020）,1,0
体现着正确导向的鲜明而丰富的内涵,modern Chinese（1920-2020）,1,0
体贴她,modern Chinese（1920-2020）,1,0
体贴着,modern Chinese（1920-2020）,1,0
体验一种前所未有的激动,modern Chinese（1920-2020）,0,1
体验不同的“游戏”,modern Chinese（1920-2020）,1,0
体验拔“火罐”的疗效,modern Chinese（1920-2020）,1,0
体验着一个纯净透明的世界和一个可怕的、令人羞耻和心跳的世界,modern Chinese（1920-2020）,0,1
体验社会冷暖,modern Chinese（1920-2020）,1,0
体验那种绞心的痛苦,modern Chinese（1920-2020）,1,0
体验阿里巴巴“购物项目”,modern Chinese（1920-2020）,1,0
"作
长足的进展",modern Chinese（1920-2020）,0,1
作“官样文章”,modern Chinese（1920-2020）,1,0
作下地的准备,modern Chinese（1920-2020）,0,1
作业,modern Chinese（1920-2020）,2,2
作乐,modern Chinese（1920-2020）,1,0
作了一个小买卖,modern Chinese（1920-2020）,1,0
作些什么,modern Chinese（1920-2020）,2,0
作交谈,modern Chinese（1920-2020）,1,0
作什么,modern Chinese（1920-2020）,5,0
作介绍,modern Chinese（1920-2020）,1,0
作准备,modern Chinese（1920-2020）,2,2
作出,modern Chinese（1920-2020）,0,1
作出努力,modern Chinese（1920-2020）,0,2
作出努力挫败帝国主义和新老殖民主义破坏会议的企图,modern Chinese（1920-2020）,0,1
作出反应,modern Chinese（1920-2020）,0,1
作出发准备,modern Chinese（1920-2020）,0,1
作出很多牺牲,modern Chinese（1920-2020）,1,0
作出慈悲的样子,modern Chinese（1920-2020）,1,0
作出自己的努力和贡献,modern Chinese（1920-2020）,1,0
作出贡献,modern Chinese（1920-2020）,0,1
作功课,modern Chinese（1920-2020）,1,0
作努力,modern Chinese（1920-2020）,0,1
作同样的窥探,modern Chinese（1920-2020）,1,0
作和事老,modern Chinese（1920-2020）,1,0
作响,modern Chinese（1920-2020）,1,0
作垂死挣扎,modern Chinese（1920-2020）,1,0
作垂死的挣扎,modern Chinese（1920-2020）,1,0
作奥运总动员,modern Chinese（1920-2020）,1,0
作学术与时事的座谈讨论,modern Chinese（1920-2020）,0,1
作对,modern Chinese（1920-2020）,2,0
作崇,modern Chinese（1920-2020）,1,0
作弄人,modern Chinese（1920-2020）,1,0
作弄她,modern Chinese（1920-2020）,1,0
作微观经济学的讲座“价格理论”,modern Chinese（1920-2020）,0,1
作怪,modern Chinese（1920-2020）,18,0
作恶,modern Chinese（1920-2020）,1,0
作想,modern Chinese（1920-2020）,0,1
作战,modern Chinese（1920-2020）,2,0
作战斗准备,modern Chinese（1920-2020）,1,0
作技术员的工作,modern Chinese（1920-2020）,1,0
作挣扎,modern Chinese（1920-2020）,1,0
作文稿,modern Chinese（1920-2020）,0,1
作斗争,modern Chinese（1920-2020）,1,0
作最后的冲刺,modern Chinese（1920-2020）,0,1
作最后的抗争,modern Chinese（1920-2020）,1,0
作有关地震伤救治专业知识的讲座,modern Chinese（1920-2020）,0,1
作案,modern Chinese（1920-2020）,0,1
作欢迎状,modern Chinese（1920-2020）,1,0
作民运工作,modern Chinese（1920-2020）,1,0
作沉默的永久的呼号,modern Chinese（1920-2020）,1,0
作深呼吸,modern Chinese（1920-2020）,0,1
作玩,modern Chinese（1920-2020）,1,0
作画,modern Chinese（1920-2020）,1,0
作痒,modern Chinese（1920-2020）,1,0
作痛,modern Chinese（1920-2020）,1,0
作着一个受难的形象,modern Chinese（1920-2020）,1,0
作着一件有违良心的事,modern Chinese（1920-2020）,1,0
作着一种工作,modern Chinese（1920-2020）,1,0
作着告别,modern Chinese（1920-2020）,1,0
作着最后几分钟的拚头,modern Chinese（1920-2020）,0,1
作着用影片代替教科书的试验,modern Chinese（1920-2020）,0,1
作着自以为满有把握的估计和判断,modern Chinese（1920-2020）,1,0
作祟,modern Chinese（1920-2020）,4,0
作秀,modern Chinese（1920-2020）,1,0
作穷打算,modern Chinese（1920-2020）,1,0
作筒子条子的缺一门,modern Chinese（1920-2020）,1,0
作诗,modern Chinese（1920-2020）,3,0
作诗词,modern Chinese（1920-2020）,0,1
作贡献,modern Chinese（1920-2020）,1,0
作责任编辑,modern Chinese（1920-2020）,1,0
作越狱的准备,modern Chinese（1920-2020）,1,0
作重新合作的准备,modern Chinese（1920-2020）,1,0
作陪衬,modern Chinese（1920-2020）,1,0
作难,modern Chinese（1920-2020）,0,1
佩服着自己这位首长判断的准确,modern Chinese（1920-2020）,1,0
使世界面临一场新战争的威胁,modern Chinese（1920-2020）,0,1
使中东的紧张局势加剧,modern Chinese（1920-2020）,0,1
使人们忘记另一个人,modern Chinese（1920-2020）,1,0
使你的左手痛苦,modern Chinese（1920-2020）,1,0
使劲,modern Chinese（1920-2020）,1,0
使各省的伪“地方武装”受“战地训练”,modern Chinese（1920-2020）,0,1
使唤一种坚韧无比的忍耐力承担着这些话的分量,modern Chinese（1920-2020）,0,1
使唤一种引诱的神气对他微笑着,modern Chinese（1920-2020）,0,1
使性子,modern Chinese（1920-2020）,1,0
使战略核武器现代化,modern Chinese（1920-2020）,1,0
使用,modern Chinese（1920-2020）,3,2
使用一切方法希望在社会主义国家的大家庭中散布不和,modern Chinese（1920-2020）,1,0
使用两只手,modern Chinese（1920-2020）,0,1
使用坦克、枪炮,modern Chinese（1920-2020）,0,1
使用很大的力量,modern Chinese（1920-2020）,0,1
使用早期的木制车厢,modern Chinese（1920-2020）,1,0
使用毒气残杀老挝苗族人民,modern Chinese（1920-2020）,0,1
使用油性涂料,modern Chinese（1920-2020）,1,0
使用着,modern Chinese（1920-2020）,2,0
使用粗暴的武力,modern Chinese（1920-2020）,0,1
使用联想电脑,modern Chinese（1920-2020）,2,0
使用金兰湾,modern Chinese（1920-2020）,0,1
使相声提高到理论的高度,modern Chinese（1920-2020）,1,0
使眼色要宗敏小声,modern Chinese（1920-2020）,0,1
侍弄着,modern Chinese（1920-2020）,1,0
依仗权势,modern Chinese（1920-2020）,1,0
依依惜别,modern Chinese（1920-2020）,0,1
依靠科学研究工作来推,modern Chinese（1920-2020）,0,1
侦听他们的电台,modern Chinese（1920-2020）,1,0
