The usage of ZAI and ZHENGZAI in the periods during the Yuan Dynasty and the Ming Dynasty ,,,
Verbs,Time,ZAI,ZHENGZAI
悲思,the Qing Dynasty,0,1
悲痛,the Qing Dynasty,0,1
备酒相陪,the Qing Dynasty,0,1
奔逃,the Qing Dynasty,0,1
蹦踏,the Qing Dynasty,0,1
比试,the Qing Dynasty,0,1
变,the Qing Dynasty,0,1
遍看那些挽联挽诗,the Qing Dynasty,0,1
遍体酥麻,the Qing Dynasty,0,1
辩论,the Qing Dynasty,0,1
秉烛饮酒,the Qing Dynasty,0,1
病急乱投医,the Qing Dynasty,0,1
不得开交,the Qing Dynasty,0,1
不得主意,the Qing Dynasty,0,2
不分胜败,the Qing Dynasty,0,1
不解,the Qing Dynasty,0,3
不解什么缘故,the Qing Dynasty,0,1
不明不白,the Qing Dynasty,0,1
不信,the Qing Dynasty,0,1
猜度,the Qing Dynasty,0,2
猜想,the Qing Dynasty,0,4
猜疑,the Qing Dynasty,0,9
参观,the Qing Dynasty,0,1
操练,the Qing Dynasty,0,1
嘈杂,the Qing Dynasty,0,1
查察她要怎么摆布,the Qing Dynasty,0,1
查问儿子病状,the Qing Dynasty,0,1
查问刘差官,the Qing Dynasty,0,1
查问其故,the Qing Dynasty,0,1
查问他,the Qing Dynasty,0,1
诧愕,the Qing Dynasty,0,1
诧异,the Qing Dynasty,0,9
差人打听,the Qing Dynasty,0,1
拆阅,the Qing Dynasty,0,1
畅饮,the Qing Dynasty,0,1
唱,the Qing Dynasty,0,1
唱着,the Qing Dynasty,0,1
吵不清,the Qing Dynasty,0,2
吵闹,the Qing Dynasty,0,4
扯曳,the Qing Dynasty,0,1
扯长了耳朵听他说下去,the Qing Dynasty,0,1
沉吟,the Qing Dynasty,0,11
吃茶,the Qing Dynasty,0,5
吃得高兴,the Qing Dynasty,0,1
吃点心,the Qing Dynasty,0,1
吃饭,the Qing Dynasty,0,1
吃粪,the Qing Dynasty,0,1
吃惊,the Qing Dynasty,0,1
吃酒,the Qing Dynasty,0,11
吃酒谈心,the Qing Dynasty,0,1
吃羊,the Qing Dynasty,0,1
吃药,the Qing Dynasty,0,1
痴想,the Qing Dynasty,0,1
驰奔,the Qing Dynasty,0,1
迟疑,the Qing Dynasty,0,11
迟疑不决,the Qing Dynasty,0,1
冲冲大怒,the Qing Dynasty,0,1
冲踹贼营,the Qing Dynasty,0,1
抽打,the Qing Dynasty,0,1
酬酢,the Qing Dynasty,0,1
愁烦,the Qing Dynasty,0,1
愁眉苦脸,the Qing Dynasty,0,1
